¿Qué es el "Anfiteatro de Tarragona"? a) Una feria b) Un antiguo teatro romano c) Un antiguo museo, b, gold, prision
¿Cuál es el nombre de la famosa catedral de Tarragona? a) Catedral de La Merced b) Catedral de Santa Tecla c) Catedral de Barcelona, b, gold, lava
¿En qué comunidad autónoma se encuentra Tarragona? a) Cataluña b) Andalucía c) Valencia, a, diamond, zombie
¿Cuál es el nombre del puerto de Tarragona? a) Puerto de Barcelona b) Puerto de Tarragona c) Puerto de Valencia, b, diamond, tnt
¿Qué río pasa por Tarragona? a) El río Guadalquivir b) El río Ebro c) El río Tajo, b, food, prision
¿En qué año fue fundada Tarragona? a) En el año 218 a.C. b) En el año 1000 d.C. c) En el año 711 d.C., a, food, lava
¿Qué monumento de Tarragona es Patrimonio de la Humanidad? a) La Sagrada Familia b) El Conjunto Arqueológico de Tarraco c) El Parque Güell, b, diamond, zombie
¿En qué provincia se encuentra la ciudad de Tarragona? a) En la provincia de Barcelona b) En la provincia de Tarragona c) En la provincia de Girona, b, gold, tnt
¿Cuál es el nombre del famoso festival de teatro de Tarragona? a) Festival Internacional de Teatro de Cádiz b) Festival de Teatro Clásico de Mérida c) Festival de Teatro de Tarragona, c, gold, prision
¿Qué significa la palabra "Tarraco"? a) Es un término de origen griego b) Es el antiguo nombre romano de Tarragona c) Es un nombre moderno, b, diamond, lava
¿Tarragona es conocida por qué tipo de arquitectura? a) Por su arquitectura gótica b) Por su arquitectura romana c) Por su arquitectura modernista, b, diamond, prision
¿Qué es el "Circo Romano de Tarragona"? a) Un templo dedicado a Marte b) Un antiguo estadio de carreras c) Un teatro romano, b, gold, zombie
¿Cuántos kilómetros tiene el litoral de Tarragona? a) Aproximadamente 70 km b) Aproximadamente 150 km c) Aproximadamente 92 km, c, diamond, tnt
¿Quién fue el emperador romano que visitó Tarragona en el año 73 d.C.? a) El emperador Nerón b) El emperador Vespasiano c) El emperador Augusto, b, gold, prision
¿Cuál es el nombre de la plaza más famosa de Tarragona? a) Plaza del Rey b) Plaza Mayor c) Plaza de la Font, c, diamond, prision
¿Qué tipo de monumento es el "Templo de Augusto" en Tarragona? a) Un templo romano b) Un teatro griego c) Un palacio medieval, a, gold, tnt
¿Cuál es el nombre del famoso arco romano en Tarragona? a) Arco de Triunfo b) Arco de Constantino c) Arco de Bará, c, diamond, zombie
¿En qué año se construyó el "Anfiteatro de Tarragona"? a) En el siglo II d.C. b) En el siglo I d.C. c) En el siglo III d.C., a, food, prision
¿Tarragona es conocida por su producción de qué tipo de vino? a) Vino tinto b) Vino blanco c) Vino de cava, c, gold, lava
¿Qué famoso acontecimiento romano tuvo lugar en el "Anfiteatro de Tarragona"? a) Batallas navales b) Combates de gladiadores c) Actos de coronación, b, diamond, zombie
¿En qué guerra tuvo un papel importante la ciudad de Tarragona? a) La Guerra Civil Española b) La Guerra de Independencia c) La Segunda Guerra Púnica, c, gold, prision
¿Cuál es el nombre del teatro romano de Tarragona? a) Teatro de Mérida b) Teatro Romano de Tarragona c) Teatro de la Villa, b, diamond, tnt
¿Cuál es la principal calle comercial de Tarragona? a) Calle Real b) Rambla Nova c) Calle Mayor, b, gold, prision
¿Qué evento se celebra anualmente en Tarragona que atrae a miles de personas? a) Fiesta de la Vendimia b) Carnaval c) Castells, c, diamond, lava
¿Cuál es el museo más importante de Tarragona? a) Museo Nacional de Arte Romano b) Museo de Historia de Tarragona c) Museo de la Catedral, a, gold, tnt
¿Qué civilización construyó el "Acueducto de Les Ferreres" en Tarragona? a) Los romanos b) Los griegos c) Los cartagineses, a, diamond, prision
¿En qué zona de Tarragona se encuentra el "Puente del Diablo"? a) En la costa b) En el centro histórico c) En las afueras, c, gold, zombie
¿Qué tipo de animales se podían ver en el "Anfiteatro de Tarragona"? a) Leones b) Tigres c) Caballos, a, food, prision
